"","settlement_type_new","Ward","ea_numbers_new","longitude","latitude"
"1","Informal","AGUGU","AGUGU_001/012",3.91923272544479,7.38528184707015
"2","Informal","AGUGU","AGUGU_003/022",3.92060095689479,7.38353094502571
"3","Informal","AGUGU","AGUGU_004/035",3.9261742651231,7.379369937362
"4","Informal","AGUGU","AGUGU_005/032",3.9208787709146,7.39195480059889
"5","Informal","AGUGU","AGUGU_009/014",3.92269708201759,7.37997378410434
"6","Informal","AGUGU","AGUGU_012/026",3.92079072556665,7.37843908292709
"7","Informal","AGUGU","AGUGU_015/004",3.92891817251264,7.38830531304157
"8","Informal","AGUGU","AGUGU_017/016",3.92931524189655,7.38656356505471
"9","Informal","AGUGU","AGUGU_018/028",3.9287570073716,7.38702882981211
"10","Informal","AGUGU","AGUGU_019/027",3.92429068729672,7.38770580358056
"11","Informal","AGUGU","AGUGU_020/002",3.9289651987297,7.38570317451803
"12","Informal","AGUGU","AGUGU_022/010",3.92258599806702,7.38699590373828
"13","Informal","AGUGU","AGUGU_023/018",3.92615266952973,7.39073949036968
"14","Informal","AGUGU","AGUGU_024/037",3.91843731783474,7.38377938059298
"15","Informal","AGUGU","AGUGU_026/003",3.91527755818847,7.38708558543413
"16","Informal","AGUGU","AGUGU_027/001",3.91405387127603,7.3898078596338
"17","Informal","AGUGU","AGUGU_030/008",3.91604424815416,7.39037733830718
"18","Slum","AGUGU","AGUGU_031/021",3.9304667978878,7.37937779860536
"19","Slum","AGUGU","AGUGU_032/020",3.92588435261086,7.38122831888685
"20","Slum","AGUGU","AGUGU_033/009",3.92406522882044,7.38753262503299
"21","Slum","AGUGU","AGUGU_034/029",3.93735866823271,7.37666795044473
"22","Slum","AGUGU","AGUGU_035/033",3.92406334366282,7.38804181611873
"23","Slum","AGUGU","AGUGU_041/005",3.92137684505795,7.38776167171345
"24","Slum","AGUGU","AGUGU_042/011",3.92948914710323,7.38311636187978
"25","Slum","AGUGU","AGUGU_045/031",3.92277696265096,7.37839710287725
"26","Slum","AGUGU","AGUGU_047/025",3.9263701313233,7.38233114813445
"27","Slum","AGUGU","AGUGU_051/023",3.92902499591965,7.38141096367241
"28","Slum","AGUGU","AGUGU_052/024",3.93244138715009,7.38334142921192
"29","Slum","AGUGU","AGUGU_053/019",3.9216710170066,7.3919246837548
"30","Slum","AGUGU","AGUGU_055/006",3.93095156251881,7.38463564768367
"31","Slum","AGUGU","AGUGU_056/015",3.92485578319187,7.38549812908712
"32","Slum","AGUGU","AGUGU_057/036",3.92458263400796,7.38597380029505
"33","Slum","AGUGU","AGUGU_059/030",3.93586347891255,7.37862191710254
"34","Slum","AGUGU","AGUGU_061/017",3.93149228415919,7.37780414291709
"35","Slum","AGUGU","AGUGU_062/034",3.93421011163629,7.3764370356716
"36","Slum","AGUGU","AGUGU_065/013",3.93094421439464,7.38025778963683
"37","Informal","BASHORUN","BASHORUN_010/010",3.92173114496543,7.43211694999504
"38","Informal","BASHORUN","BASHORUN_011/013",3.9308599683267,7.42710127992595
"39","Formal","BASHORUN","BASHORUN_016/027",3.90982245373901,7.41416868657274
"40","Formal","BASHORUN","BASHORUN_021/037",3.91760639965068,7.41595605115262
"41","Informal","BASHORUN","BASHORUN_031/009",3.92106894140705,7.4293118964508
"42","Slum","BASHORUN","BASHORUN_035/022",3.91627056031583,7.43783180667801
"43","Formal","BASHORUN","BASHORUN_039/003",3.92807836417997,7.41600786145448
"44","Formal","BASHORUN","BASHORUN_042/018",3.92364147247147,7.4328650880698
"45","Formal","BASHORUN","BASHORUN_049/015",3.91835608850261,7.41993993199339
"46","Formal","BASHORUN","BASHORUN_050/028",3.92319665198968,7.41737865206252
"47","Formal","BASHORUN","BASHORUN_057/005",3.92632752807259,7.41714216078418
"48","Informal","BASHORUN","BASHORUN_059/023",3.9156658294341,7.42984961481597
"49","Informal","BASHORUN","BASHORUN_060/011",3.92043112905262,7.4283639512501
"50","Informal","BASHORUN","BASHORUN_063/034",3.92048266191825,7.42359421687438
"51","Formal","BASHORUN","BASHORUN_068/002",3.92053524096359,7.43067049958725
"52","Formal","BASHORUN","BASHORUN_071/017",3.93248244670573,7.42305051522384
"53","Formal","BASHORUN","BASHORUN_077/025",3.9313704901003,7.41930951209546
"54","Formal","BASHORUN","BASHORUN_080/001",3.92424831445582,7.42996282410234
"55","Formal","BASHORUN","BASHORUN_101/030",3.92942683503936,7.42880090196325
"56","Formal","BASHORUN","BASHORUN_106/012",3.91527993214379,7.4273295179271
"57","Formal","BASHORUN","BASHORUN_112/036",3.92790579382742,7.42183533524667
